idiom,explanation,original_sentence,original_paraphrase
好意思,便,方鸿渐想跟鲍小姐两个人另去吃饭，在大家面前不好意思讲出口，只得随他们走。,方鸿渐想跟鲍小姐两个人另去吃饭，在大家面前不便讲出口，只得随他们走。
言,己对,但还没等俺开口呢，老东西就仰脸望着房笆，仿佛是自言自语地说：,但还没等俺开口呢，老东西就仰脸望着房笆，仿佛是自己对自己说话：
语地,己,但还没等俺开口呢，老东西就仰脸望着房笆，仿佛是自言自语地说：,但还没等俺开口呢，老东西就仰脸望着房笆，仿佛是自己对自己说话：
四面八,从各个,一串单个的名字，同到一堆如像恋爱，作媒，结婚，亲嘴的字言，四面八方的掷来，少年为这些来去无踪的零碎片段思想包围，人是苦恼了。,一串单个的名字，同到一堆如像恋爱，作媒，结婚，亲嘴的字言，从各个方向掷来，少年为这些隐秘的零碎片段思想包围，人是苦恼了。
的,向,一串单个的名字，同到一堆如像恋爱，作媒，结婚，亲嘴的字言，四面八方的掷来，少年为这些来去无踪的零碎片段思想包围，人是苦恼了。,一串单个的名字，同到一堆如像恋爱，作媒，结婚，亲嘴的字言，从各个方向掷来，少年为这些隐秘的零碎片段思想包围，人是苦恼了。
大,十分,老范听到这两个消息，大吃一惊，也十分愤怒。,老范听到这两个消息，十分吃惊，也十分愤怒。
以为然,赞同,“大表哥，我总觉得你想得太多一点，”琴不以为然地说。,“大表哥，我总觉得你想得太多一点，”琴表示不赞同地说。
恍,突,因此我恍然大悟，那种眉花眼笑的美满结婚照相，全不是当时照的。”,因此我突然明白，那种眉花眼笑的美满结婚照相，全不是当时照的。”
大悟,明白,因此我恍然大悟，那种眉花眼笑的美满结婚照相，全不是当时照的。”,因此我突然明白，那种眉花眼笑的美满结婚照相，全不是当时照的。”
切,股脑,志摩生前，最为人所误解，而实际也许是催他速死的最大原因之一的一重性格，是他的那股不顾一切，带有激烈的燃烧性的热情。,志摩生前，最为人所误解，而实际也许是催他速死的最大原因之一的一重性格，是他的那股一股脑，带有激烈的燃烧性的热情。
地,时,他们的怒气被激起来，大家都不约而同地留神去找尤大兴的破绽，好借口打他。,他们的怒气被激起来，大家都同时留神去找尤大兴的破绽，好借口打他。
赤身,裸,它一言不发地夹在其他赤身露体的糕饼当中，有一种无声的热闹，有一种难掩的喜气。,它沉默地夹在其他裸露的糕饼当中，有一种无声的热闹，有一种难掩的喜气。
无,没有踪,她折起身子，从俺手里抢去那根虎须，噗，一口气吹得无影无踪。,她折起身子，从俺手里抢去那根虎须，噗，一口气吹得没有踪影。
有,时常,都有些疲乏过度的兴奋，孙小姐也有说有笑，但比了辛楣鸿渐的胡闹，倒是这女孩子老成。,都有些疲乏过度的兴奋，孙小姐也时常说笑，但比了辛楣鸿渐的胡闹，倒是这女孩子老成。
式各样,钟,她望着前方灯盏路两侧的杨树，现在那杨树下没有吊着各式各样的灯，也不是有雪的时令，而她却仿佛看到了那年正月十五的大雪和那盏白菜灯。,她望着前方灯盏路两侧的杨树，现在那杨树下没有吊着各钟的灯，也不是有雪的时令，而她却仿佛看到了那年正月十五的大雪和那盏白菜灯。
结,有些,我这才发觉这是个外地人，西班牙文说得极生硬，结结巴巴的。,我这才发觉这是个外地人，西班牙文说得极生硬，有些结巴。
理所,应,谁还管青红皂白，先揍完再说，反正打媳妇是理所当然的事。,谁还管对错，先揍完再说，反正打媳妇是应当的。
心有余而力不足,没办法,我是心有余而力不足，”觉新垂头丧气地答道。,我是没办法，”觉新沮丧地答道。
垂头,沮,我是心有余而力不足，”觉新垂头丧气地答道。,我是没办法，”觉新沮丧地答道。
壮,势强,我没有说一句假话，”春兰仗着她的主人在这里给她撑腰，理直气壮地说。,我没有说一句假话，”春兰仗着她的主人在这里给她撑腰，气势强地说。
日,天,这个责任与困苦并不小，有朝一日被屠杀或被饿死，我陪侍着老人们一块儿死；我有两个弟弟在外面抗日，死我也可以瞑目了！,这个责任与困苦并不小，有一天被屠杀或被饿死，我陪侍着老人们一块儿死；我有两个弟弟在外面抗日，死我也可以瞑目了！
