idiom,explanation,original_sentence,original_paraphrase
有,财和,据称，许多这些案件是由当地有钱有势人家、包括法官和政客的子弟干的，所以敢色胆包天、逍遥法外。,据称，许多这些案件是由当地有钱财和势力的人家、包括法官和政客的子弟干的，所以敢于犯法，不受法律的管制。
色胆包天逍遥,于犯,据称，许多这些案件是由当地有钱有势人家、包括法官和政客的子弟干的，所以敢色胆包天、逍遥法外。,据称，许多这些案件是由当地有钱财和势力的人家、包括法官和政客的子弟干的，所以敢于犯法，不受法律的管制。
外,，不受法律的管制,据称，许多这些案件是由当地有钱有势人家、包括法官和政客的子弟干的，所以敢色胆包天、逍遥法外。,据称，许多这些案件是由当地有钱财和势力的人家、包括法官和政客的子弟干的，所以敢于犯法，不受法律的管制。
面,动全体,为了稳步推进住房分配货币化，我市采取试点先行，以点带面的工作思路。,为了稳步推进住房分配货币化，我市采取试点先行，带动全体的工作思路。
反客,变被动,这是一种现代反客为主术，不知那些宠幸拍马逢迎者的官员们是否想到了这一层。,这是一种现代变被动为主动的方法，不知那些宠幸拍马逢迎者的官员们是否想到了这一层。
术,动的方法,这是一种现代反客为主术，不知那些宠幸拍马逢迎者的官员们是否想到了这一层。,这是一种现代变被动为主动的方法，不知那些宠幸拍马逢迎者的官员们是否想到了这一层。
官,员,当然，我无意为希腊的官官相护、腐败和管理不善开脱，这些因素才是造成希腊困境的主因。,当然，我无意为希腊的官员相互包庇、腐败和管理不善开脱，这些因素才是造成希腊困境的主因。
护,互包庇,当然，我无意为希腊的官官相护、腐败和管理不善开脱，这些因素才是造成希腊困境的主因。,当然，我无意为希腊的官员相互包庇、腐败和管理不善开脱，这些因素才是造成希腊困境的主因。
积习,很,真的，我发现自己在“秩序”方面实在积习难改。,真的，我发现自己在“秩序”方面长期形成的习惯实在很难改掉。
聪明睿,非常机,“我刚才说了，我以为在社会上层人们都是聪明睿智的，都闪着光芒。,“我刚才说了，我以为在社会上层人们都是非常机智的，都闪着光芒。”
见卓识,目光,它巍然屹立，鲜明地见证了维多利亚时代构思该桥的工程师的远见卓识和精湛技艺。,它高大雄伟，鲜明地见证了维多利亚时代构思该桥的工程师的长远目光和精湛技艺。
屈,忍耐也,巧儿功力恢复，有能力嚣张了，大丈夫能屈能伸不是吗？,巧儿功力恢复，有能力嚣张了，大丈夫能忍耐也能伸展不是吗？
后,会有很多隐,你说在亚瑟出生的时候使用巫术后患无穷。,你说在亚瑟出生的时候使用巫术会有很多隐患。
惟,一心图,"这种合同将授权签约公司以军事行动的形式进行""经正式同意的雇佣军干预""，但是该国将会正式放弃其实质性责任，将它交给惟利是图的组织；这势必唤起人们对老殖民公司的记忆。","这种合同将授权签约公司以军事行动的形式进行""经正式同意的雇佣军干预""，但是该国将会正式放弃其实质性责任，将它交给一心图利益的组织；这势必唤起人们对老殖民公司的记忆。"
是图,益,"这种合同将授权签约公司以军事行动的形式进行""经正式同意的雇佣军干预""，但是该国将会正式放弃其实质性责任，将它交给惟利是图的组织；这势必唤起人们对老殖民公司的记忆。","这种合同将授权签约公司以军事行动的形式进行""经正式同意的雇佣军干预""，但是该国将会正式放弃其实质性责任，将它交给一心图利益的组织；这势必唤起人们对老殖民公司的记忆。"
旧,把已经搁置的,这就是为什么延续东欧伙伴关系必须大胆在乌克兰问题上采用全新举措，而不是针对不同情况设计的原有政策旧事重提。,这就是为什么延续东欧伙伴关系必须大胆在乌克兰问题上采用全新举措，而不是针对不同情况设计的原有政策把已经搁置的事情重新提出。
如山,据充足,铁证如山，那个坏家伙不得不低头认罪。,证据充足，那个坏家伙不得不低头认罪。
一座臭名昭彰的围,隔离,在捷克拉贝河畔乌斯季城内建造的一座臭名昭彰的围墙即是一个令人震惊的现实中活生生的隔离事例。,在捷克拉贝河畔乌斯季城内建造名声很臭人人都知道的隔离墙即是一个令人震惊的现实中活生生的隔离事例。
胶着,使时间停了下来,时间都给他的话胶着，只好拖泥带水地慢走。,他的话使时间停了下来，只好缓慢地走。
千夫所,众人,此外，任何改信其他宗教的穆斯林，例如在他与不同宗教信仰的人结婚的时候，不得不秘密出走，包括离开孟加拉国，以免受千夫所指。,此外，任何改信其他宗教的穆斯林，例如在他与不同宗教信仰的人结婚的时候，不得不秘密出走，包括离开孟加拉国，以免受众人指责。
默克尔能够,她尽,除非默克尔能够快刀斩乱麻，否则她将会发现自己别无选择。,除非她尽快做出选择，否则她将会发现自己没得选。
别无,没得,除非默克尔能够快刀斩乱麻，否则她将会发现自己别无选择。,除非她尽快做出选择，否则她将会发现自己没得选。
笑置之,回事,他们对我的建议一笑置之。,他们对我的建议不当一回事。
五光十,各种颜,用五光十色的小石子或瓦片在水泥板上镶嵌面成的图案。,用各种颜色的小石子或瓦片在水泥板上镶嵌面成的图案。
极强的,讽刺意味和,他的画大多具有极强的讽刺意味，幽默感极强，估计警察看后都会忍俊不禁。,他的画具有讽刺意味和讽刺意味，以致警察们不禁笑了起来。
幽默感极强估计,以致,他的画大多具有极强的讽刺意味，幽默感极强，估计警察看后都会忍俊不禁。,他的画具有讽刺意味和讽刺意味，以致警察们不禁笑了起来。
看后都会忍俊,们,他的画大多具有极强的讽刺意味，幽默感极强，估计警察看后都会忍俊不禁。,他的画具有讽刺意味和讽刺意味，以致警察们不禁笑了起来。
他没有气急败坏,不感到羞怒,为什么他没有气急败坏，坐立不安呢?,他为什么不感到羞怒，不安呢?
要,有,此外，还要克服学术界的传统和既得利益。比如，有些教师担心，如果他们将所有教学资料上传到网络，自己的饭碗会保不住。,此外，还有克服学术界的传统和固有利益的问题，例如一些讲师担心，如果他们把所有材料放在网上，他们的生计会受到影响。
既得,固有,此外，还要克服学术界的传统和既得利益。比如，有些教师担心，如果他们将所有教学资料上传到网络，自己的饭碗会保不住。,此外，还有克服学术界的传统和固有利益的问题，例如一些讲师担心，如果他们把所有材料放在网上，他们的生计会受到影响。
比,的问题，例,此外，还要克服学术界的传统和既得利益。比如，有些教师担心，如果他们将所有教学资料上传到网络，自己的饭碗会保不住。,此外，还有克服学术界的传统和固有利益的问题，例如一些讲师担心，如果他们把所有材料放在网上，他们的生计会受到影响。
有,一,此外，还要克服学术界的传统和既得利益。比如，有些教师担心，如果他们将所有教学资料上传到网络，自己的饭碗会保不住。,此外，还有克服学术界的传统和固有利益的问题，例如一些讲师担心，如果他们把所有材料放在网上，他们的生计会受到影响。
教,讲,此外，还要克服学术界的传统和既得利益。比如，有些教师担心，如果他们将所有教学资料上传到网络，自己的饭碗会保不住。,此外，还有克服学术界的传统和固有利益的问题，例如一些讲师担心，如果他们把所有材料放在网上，他们的生计会受到影响。
将,把,此外，还要克服学术界的传统和既得利益。比如，有些教师担心，如果他们将所有教学资料上传到网络，自己的饭碗会保不住。,此外，还有克服学术界的传统和固有利益的问题，例如一些讲师担心，如果他们把所有材料放在网上，他们的生计会受到影响。
教学资,材,此外，还要克服学术界的传统和既得利益。比如，有些教师担心，如果他们将所有教学资料上传到网络，自己的饭碗会保不住。,此外，还有克服学术界的传统和固有利益的问题，例如一些讲师担心，如果他们把所有材料放在网上，他们的生计会受到影响。
传,，他们的生计会受,此外，还要克服学术界的传统和既得利益。比如，有些教师担心，如果他们将所有教学资料上传到网络，自己的饭碗会保不住。,此外，还有克服学术界的传统和固有利益的问题，例如一些讲师担心，如果他们把所有材料放在网上，他们的生计会受到影响。
