idiom,explanation,original_sentence,original_paraphrase
老调重谈,再次说起,如果不是，我们还有更衣室要粉刷，现在，一些通知，今天上午的自由时间有音乐剧的试镜，独唱和对唱，我会呆到中午，为了你们大胆地展现你们的创新精神，什么时候她会老调重谈？,如果不是，我们还有更衣室要粉刷，现在，一些通知，今天上午的自由时间有音乐剧的试镜，独唱和对唱，我会呆到中午，为了你们大胆地展现你们的创新精神，什么时候她会再次说起？
柳暗花明,出现新的局面,他描述自己一生的这一刻异常气恼，然而柳暗花明。,他描述自己一生的这一刻异常气恼，然而出现新的局面。
貌合神离,假装友好,在这个时代，外交是一项很私人的活动；是两国领导人通过电话，或者在貌合神离的垂钓中完成的。,在这个时代，外交是一项很私人的活动；是两国领导人通过电话，或者在假装友好的垂钓中完成的。
铁面无私,公正严明,他那鼓起的鼻孔，低垂的眼睛赋予他那铁面无私的希腊式侧影一种愤怒和贞静的表情，从古代社会的观点看，那是适合于司法的。,他那鼓起的鼻孔，低垂的眼睛赋予他那公正严明的希腊式侧影一种愤怒和贞静的表情，从古代社会的观点看，那是适合于司法的。
巍然屹立,高大雄伟,它巍然屹立，鲜明地见证了维多利亚时代构思该桥的工程师的远见卓识和精湛技艺。,它高大雄伟，鲜明地见证了维多利亚时代构思该桥的工程师的长远目光和精湛技艺。
杀鸡儆猴,以威慑其他人,"那些与""假毛派分子""合作的人(甚至出于惧怕)有时候被保安部队带到邻居面前当众处决，杀鸡儆猴，随后又报称是在""事故""中丧生的。","那些与""假毛派分子""合作的人(甚至出于惧怕)有时候被保安部队带到邻居面前当众处决，以威慑其他人，随后又报称是在""事故""中丧生的。"
熙来攘往,繁忙,这些设施通常设在车辆熙来攘往的地方，因为在这些地方过马路，会特别危险或困难。,这些设施通常设在车辆繁忙的地方，因为在这些地方过马路，会特别危险或困难。
绵延不断,连续,大多数专家都从中看到一种矛盾，即从众的欲望和试图与众区别的欲望之间的绵延不断的冲突。,大多数专家都从中看到一种矛盾，即从众的欲望和试图与众区别的欲望之间的连续的冲突。
拖泥带水,缓慢,时间都给他的话胶着，只好拖泥带水地慢走。,他的话使时间停了下来，只好缓慢地走。
语无伦次,说不清话了,我们赶到时他已语无伦次。,我们赶到时他已说不清话了。
刀斩乱麻,做出选择,除非默克尔能够快刀斩乱麻，否则她将会发现自己别无选择。,除非她尽快做出选择，否则她将会发现自己没得选。
画蛇添足,做无用功,佐证多了，反而画蛇添足。,佐证多了，反而做无用功。
居心不良,是恶意的,工人们认为老板的行为居心不良。,工人们认为老板的行为是恶意的。
深入人心,受欢迎,伍师傅不但在日常工作上敬业乐业，长期表现优秀，他热心助人的性格很有感染力，深入人心，赢得天文台上下同事的尊敬和爱戴。他今次获行政长官授勋，不单是对他个人事业的嘉许，亦对整个部门的员工起了鼓舞的作用。,伍师傅不但在日常工作上敬业乐业，长期表现优秀，他热心助人的性格很有感染力，受欢迎，赢得天文台上下同事的尊敬和爱戴。他今次获行政长官授勋，不单是对他个人事业的嘉许，亦对整个部门的员工起了鼓舞的作用。
生灵涂炭,人民陷入困苦的处境,毒品交易，加上大部分国家国力虚弱，造成生灵涂炭。,毒品交易，加上大部分国家国力虚弱，造成人民陷入困苦的处境。
心旷神怡,让人愉悦,观光客把英国许多最心旷神怡的景色弄得俗不可耐。,游客使英国许多最让人愉悦的地方变得庸俗。
迫在眉睫,危急,当生存的问题迫在眉睫时，英国的贵族也只好对出身和头衔作出妥协。,当生存的问题危急时，英国的贵族也只好对出身和头衔作出妥协。
莫名其妙,不明白,老实讲，以我的良心和人格担保，我对您这番话的含义实在莫名其妙！,老实讲，以我的良心和人格担保，我对您这番话的含义实在不明白！
东西会让,花朵时，,向日葵花类的东西会让狮子座母亲心花怒放，它乐观向上的个性正好和狮子座妈妈完全契合。,当看到向日葵一类的花朵时，狮子妈妈们感到很高兴，它乐观向上的个性正好和狮子座妈妈完全契合。
自相矛盾,前后抵触,控制自然这一概念是自相矛盾的，它既是其进步性也是其退步性的根源。,控制自然这一概念是前后抵触的，它既是其进步性也是其退步性的根源。
昭然若揭,完全暴露,以色列政府的种族主义本质已经昭然若揭，它否认四百万巴勒斯坦人的基本人权，甚至使用武力对付他们。,以色列政府的种族主义本质已经完全暴露，它否认四百万巴勒斯坦人的基本人权，甚至使用武力对付他们。
无论如何,不管条件怎样变化,但无论如何，身为极具权威机构的会员，要时刻注意自己的言行。,但不管条件怎样变化，身为极具权威机构的会员，要时刻注意自己的言行。
礼义廉耻,古代的道德准则,无疑这是优良的传统，但在21世纪我们是否应为“礼义廉耻”及其有关的传统作新的定位？,无疑这是优良的传统，但在21世纪我们是否应为“古代的道德准则”及其有关的传统作新的定位？
谈笑自如,十分欢快,看到玛丽在聚会上谈笑自如，我真高兴。,看到玛丽在聚会上十分欢快，我真高兴。
甘之如饴,很喜爱,大一新生受各种嘲弄，但是他们对这种入门经验甘之如饴。,大一新生受各种嘲弄，但是他们对这种入门经验很喜爱。
欲注定着,情之乐使,人的七情六欲注定着人是逃不过沉默、孤独与悲伤。,七情之众和六情之乐使人们无法摆脱沉默、孤独和悲伤。
是逃不过,们无法摆脱,人的七情六欲注定着人是逃不过沉默、孤独与悲伤。,七情之众和六情之乐使人们无法摆脱沉默、孤独和悲伤。
非天下太,不和,但是如今，统一后的德国并非天下太平。在过去15年间，原东德地区获得了巨额补贴，但在经济上，它仍然落后于原西德地区。,但是如今，统一后的德国并不和平。在过去15年间，原东德地区获得了巨额补贴，但在经济上，它仍然落后于原西德地区。
妇女即使,妻子,有些妇女即使知道丈夫出外寻花问柳，做爱时依然不采取防御措施。,尽管有些妻子知道丈夫有外遇，做爱时依然不采取防御措施。
寻花问柳,遇,有些妇女即使知道丈夫出外寻花问柳，做爱时依然不采取防御措施。,尽管有些妻子知道丈夫有外遇，做爱时依然不采取防御措施。
身经百战,打过多次仗,理查是个身经百战的老兵。,理查是个打过多次仗的老战士。
将心比心,为别人着想,我们是有些本地人眼中的陌生人，我们要将心比心。经济好的时候，大家都有工作做，相安无事，天下太平。,我们是有些本地人眼中的陌生人，我们要为别人着想。经济好的时候，大家都有工作做，没有什么争执，社会安定。
肺腑之言,发自内心的话,这位士兵的肺腑之言，是那么朴素而又那么富有说服力，我还有什么可说的呢？,这位士兵的发自内心的话，是那么朴素而又那么富有说服力，我还有什么可说的呢。
振振有词,理由很充分,有中国运动员参加的国际篮球比赛一旦出现暴力行为，一般中国体育媒体会竞相振振有词地发表空洞无味的评论。,有中国运动员参加的国际篮球比赛一旦出现暴力行为，一般中国体育媒体会竞相理由很充分地发表空洞无味的评论。
众志成城,团结起来,如同面对以往任何一池大自然灾害一样，在政府之力之外，拯救生命的行动，还依赖于民众与非政府机构众志成城。,如同面对以往任何一池大自然灾害一样，在政府之力之外，拯救生命的行动，还依赖于民众与非政府机构团结起来。
如火如荼,十分激烈,我来到安阳的时候，反对地主和国民党的斗争已经如火如荼地开展起来。,我来到安阳的时候，反对地主和国民党的斗争已经十分激烈地开展起来。
躲躲闪闪,偷偷,他脸红了我借着月光看出来的他的手从门上垂下来，躲躲闪闪地溜掉了，一种虚荣心被羞辱了的模样。,他脸红了我借着月光看出来的他的手从门上垂下来，偷偷地溜掉了，一种虚荣心被羞辱了的模样。
大厦如高,，就像,浦东是上海新区，有许多高楼大厦如高468米的东方明珠电视塔。,浦东是上海的新地区，有很多高楼，就像468米高的东方明珠电视塔。
敬而远之,有所顾虑不愿接近,多年以来，投资者都对新兴市场的股票和债券敬而远之。,多年以来，投资者都对新兴市场的股票和债券有所顾虑不愿接近。
讨价还价,对所提条件反复争论,顾客有时来了又去，去了又来，因此像这样讨价还价的情形有可能持续一整天，甚至好几天。,顾客有时来了又去，去了又来，因此像这样对所提条件反复争论的情形有可能持续一整天，甚至好几天。
以牙还牙,用同样的方法进行回击,玛丽让莉莉当着众人的面向她道歉，还说这是以牙还牙。,玛丽让莉莉当着众人的面向她道歉，还说这是用同样的方法进行回击。
无关紧要,不会影响大局,家的大小并无关紧要，因为俗话说：“只要有爱，茅草屋也可以变成金宫殿。”,家的大小并不会影响大局，因为俗话说：“只要有爱，茅草屋也可以变成金宫殿。”
身无长物,普通、,同时，他会将自己包装成身无长物，不值得别人谋取利用的模样，以避人耳目。,同时，他会将自己包装成普通、不值得别人谋取利用的模样以避免别人注意到。
无忧无虑,没有烦恼,当时的“狐狸”戴维斯还是个无忧无虑、稍带矜持、风流潇洒的人物。,当时的“狐狸”戴维斯还是个没有烦恼、稍带矜持、潇洒的人物。
放马后炮,事情过去了才说,切记不要使问题成了堆，才来一个总结，放马后炮。,切记不要使问题成了堆，才来一个总结，事情过去了才说。
成竹在胸,自信,如果他想掌控一个国家使其脱离危机，他必须对提供给政府的计划更成竹在胸。,如果他想掌控一个国家使其脱离危机，他必须对提供给政府的计划更自信。
无往不胜,必会成功,首先，当时的激光设备体积庞大，价格又高，在电影中唯一的作用就是用来威胁无往不胜的特工詹姆斯·邦德将其切成两半。,首先，当时的激光设备体积庞大，价格又高，在电影中唯一的作用就是用来威胁必会成功的特工詹姆斯·邦德将其切成两半。
迫在眉睫,紧急,就让我们想象一下欧洲为了应对最迫在眉睫的挑战需要怎么做，特别是它如果能够摆脱50年来欧盟讨价还价和朝三暮四的制度建设的政治制约。,就让我们想象一下欧洲为了应对最紧急的挑战需要怎么做，特别是它如果能够摆脱50年来欧盟反复争议和变化的制度建设的政治制约。
