found_idiom,src,dst
居高临下,她居高临下，怒气冲冲地盯着方富贵。,她高傲，愤怒地盯着方富贵。
深更半夜,深更半夜的，睡得好好的．他突然坐起来了，摁下手电，在家里到处照。,半夜里，睡得好好的．他突然坐起来了，摁下手电，在家里到处照。
百读不厌,简化成“百读不厌”这个成语，却就着重在读的书或作品了。,简化成多次阅读都不会厌烦，却就着重在读的书或作品了。
咬文嚼字,到了這個時候兒，你還是文質彬彬咬文嚼字兒的跟我說終身難忘。,到了這個時候兒，你還是有文化地过分斟酌的跟我說終身難忘。
冷嘲热讽,他坦白，爽快，他也机警细心，有时并且冷嘲热讽,他坦白，爽快，他也机警细心，有时并且讽刺。
纷纷扬扬,雪纷纷扬扬地下大了，地面很快被覆盖，在房檐下那盏电灯的照耀下，狗窝,雪飘散着下大了，地面很快被覆盖，在房檐下那盏电灯的照耀下，狗窝
君子之交,君子之交淡如水，坐定之后，清茶一杯，闲话片刻而已。,君子的交情，坐定之后，清茶一杯，闲话片刻而已。
言不由衷,"""他言不由衷地说着，把椅子扶起来，然后无力地坐下去，手捂着隐隐作痛的肋骨。","""他撒谎说着，把椅子扶起来，然后无力地坐下去，手捂着隐隐作痛的肋骨。"
丧胆游魂,在他丧胆游魂的串街的时候，他发现了许多新的，使他难过的事。,在他惶恐串街的时候，他发现了许多新的，使他难过的事。
前俯后仰,小水笑得前俯后仰，说：“大空哥，你都算是能人呢，日子就过成了这样？”,小水大笑地说：“大空哥，你都算是能人呢，日子就过成了这样？”
真真假假,真真假假，虚虚实实，就看你撞上什么了。,真假虚实，就看你撞上什么了。
轻重缓急,这次在欧洲，更觉得他们的文化在很大程度上处于“颠倒轻重缓急的迷魂阵”之中。,这次在欧洲，更觉得他们的文化在很大程度上处于“不分重要危急情况的迷宫”之中。
物以类聚,“物以类聚，人以群分”，世浩将军虽任军职，却与文化人结不解之缘，书画家常为他,“同类的东西聚在一起，同类的人聚在一起”，世浩将军虽任军职，却与文化人结特殊缘分，书画家常为他
前无古人,参加的交流会，它将影响今后中国的莎士比亚的研究与演出，这是前无古人,参加的交流会，它将影响今后中国的莎士比亚的研究与演出，这是创新的举动
惊弓之鸟,多少年来，他们弟兄三人为了死去的父亲的罪过，一直象惊弓之鸟一般生活着，几乎连出气都不敢张大嘴巴；大人娃娃在村里都好象比别人小了一辈。,多少年来，他们弟兄三人为了死去的父亲的罪过，一直担心害怕地生活着，几乎连出气都不敢张大嘴巴；大人娃娃在村里都好象比别人小了一辈。
娓娓而谈,她像是根本没留意对方的情绪变化，继续娓娓而谈,她像是根本没留意对方的情绪变化，继续连续不倦地谈论
朝气蓬勃,朝气蓬勃的后起之秀，还有肩负重担、辛勤操劳的艺术教育工作者、文艺编,精神振奋，斗志旺盛，充满生气的后辈人才，还有肩负重担、辛勤操劳的艺术教育工作者、文艺编
慕名而来,这间祖传的屋子，砖瓦破落，屋内屋外的墙壁，全都被“岁月的火把”熏得灰黑灰黑的，尽管“其貌不扬”，可是，每天都有不计其数的人慕名而来。,这间祖传的屋子，砖瓦破落，屋内屋外的墙壁，全都被“岁月的火把”熏得灰黑灰黑的，尽管“外貌不好看”，可是，每天都有数不尽的人来。
一事无成,在学业上我坚信这样的经验——浅尝辄止，一事无成；锲而不舍，金石可断。,在学业上我坚信这样的经验——不深入钻研，没有成就；坚持不放弃，金石可断。
板上钉钉,狗尿苔说：那还用说，铁板上钉钉子的事！,狗尿苔说：那还用说，必然的事！
独往独来,他显然是学习班里的一个异数，他独往独来，,他显然是学习班里的一个异数，他自己一个人，
滥竽充数,他手捏水笔，越记越感到难记，越记越感到科学确实可敬，庆幸自己刚才以“南郭先生滥竽充数”自轻自贱。,他手捏水笔，越记越感到难记，越记越感到科学确实可敬，庆幸自己刚才以“没有才能占据地位的人次货冒充好货”轻践自己。
掐头去尾,于是，这短促的人生，不如将它安在短视的快乐里，掐头去尾，,于是，这短促的人生，不如将它安在短视的快乐里，除去无用的或不重要的部分，
不义之财,双手沾满了鲜血，在军队中干了无数坏事，抢掠过不义之财,双手沾满了鲜血，在军队中干了无数坏事，抢掠过以不正当的手段获得的钱财
落落寡合,落落寡合，格格不入，使农民喜欢上了他。,孤寡，跟别人合不来，使农民喜欢上了他。
不露声色,他不露声色，稳扎稳打，在关键时刻帮助演剧队顺利返回解放区,他不吭声，有步骤有把握地做事，在关键时刻帮助演剧队顺利返回解放区
三更半夜,晃到三更半夜走得筋疲力竭回家，你房里的灯仍然亮著，我不照习惯进去喊你一声，跟你和妈妈说我回来了，爸爸，我的无礼，你以为里面没有痛？,晃到半夜走得非常疲乏，一点力气也没有回家，你房里的灯仍然亮著，我不照习惯进去喊你一声，跟你和妈妈说我回来了，爸爸，我的无礼，你以为里面没有痛？
日月如梭,“日月如梭，光阴似箭”，我在这荒无人烟的沙洲上充当猪王不觉已是第五,“时间过得很快，”，我在这人少的沙洲上充当猪王不觉已是第五
脑满肠肥,还是（如自然主义的小说家们那样）叫许多恶人吃到脑满肠肥,还是（如自然主义的小说家们那样）叫许多恶人吃到肥胖丑陋
破门而入,赵大头刚合上手机，李雪莲就破门而入,赵大头刚合上手机，李雪莲就进来了
得意门生,庄子是老子的得意门生,庄子是老子的最满意的弟子
孔孟之道,小时候，父亲给我请了先生，教的是孔孟之道,小时候，父亲给我请了先生，教的是儒学
珠光宝气,珠光宝气，轻歌曼舞，大家跳舞，谈艺术，如果喝，那也只喝一点红酒，或者冰,闪耀着珍宝的光色，伴随着歌舞，大家跳舞，谈艺术，如果喝，那也只喝一点红酒，或者冰
仰之弥高,夫还可教些，因为教授的博士帽是“仰之弥高，钻之弥坚”，很自认为教人,夫还可教些，因为教授的博士帽是很有实力，很自认为教人
通家之好,姚思安自己也向曾氏伉儷作揖，承認彼此是「通家之好」。,姚思安自己也向曾氏伉儷作揖，承認彼此是交情很厚。
攻守同盟,吴荪甫乘机会把姑奶奶支使开，就拉住了杜竹斋，进行他的“攻守同盟”的外交谈判。,荪甫乘机会把姑奶奶支使开，就拉住了杜竹斋，进行他的约定的外交谈判。
旁观者清,这在文明的浅层意义上可说是“旁观者清”，在文明的深层意义上，彼此本是无形的联盟。,这在文明的浅层意义上可说是观望的人清楚，在文明的深层意义上，彼此本是无形的联盟。
无独有偶,这的的括括可以说是天地间的“无独有偶”了。,这的的括括可以说是天地间的十分相似的两件事了。
眼观六路,古人所说的“眼观六路”，我们现在的关注重心至少有一半要分到背后去了。,古人所说的多方观察，我们现在的关注重心至少有一半要分到背后去了。
渔人得利,老张把这次升任总结为“鹬蚌相争，渔人得利”，是机会，是运气。,老张把这次升任总结为双方争执不下，让第三者占了便宜，是机会，是运气。
冷暖自知,这仿佛是“冷暖自知”的事，我的笔无法形容。,这仿佛是自我觉悟的事，我的笔无法形容。
方兴未艾,中国的话剧运动，方兴未艾，在在需要提携。,中国的话剧运动正在发展，尚未达到止境，需要提携。
进退两难,正在进退两难，踌躇不前的时候，抬起头来，看见我的小向导还是站在雪中，扬声问道：“房子找到吗？”,正在不知进退，犹豫不前的时候，抬起头来，看见我的小向导还是站在雪中，扬声问道：“房子找到吗？”
月白风清,月白风清间，一双即将握别世界的手，指点了一种诗化的神圣。,夜景清幽美好，一双即将握别世界的手，指点了一种诗化的神圣。
恒河沙数,中国有一句从印度学来的比喻，“恒河沙数”，是说多得像恒河的沙粒,中国有一句从印度学来的比喻，数量很多，是说多得像恒河的沙粒
恶贯满盈,这都是敬神禳灾的演剧，全本里一定有一个恶人，次日的将近天明便是这恶人的收场的时候，“恶贯满盈”，阎王出票来勾摄了，于是乎这活的活无常便在戏台上出现。,这都是敬神禳灾的演剧，全本里一定有一个恶人，次日的将近天明便是这恶人的收场的时候，罪恶很深的人临死前，阎王出票来勾摄了，于是乎这活的活无常便在戏台上出现。
幸灾乐祸,只是“幸灾乐祸”，“投井下石”，不会冒一点子险去分肩他人为正义而奋斗的负担。,只是在别人为难时看笑话，不会冒一点子险去分肩他人为正义而奋斗的负担。
知足常乐,这朋友，读书不多，居然懂得“知足常乐”的人生道理！,这朋友，读书不多，居然懂得满足的人生道理！
杳如黄鹤,可怜的你，痴痴地等，等到天荒地老，音讯杳如黄鹤。,可怜的你，痴痴地等，一直等，没有音讯。
至圣先师,至圣先师孔老先生的石刻拓片侧身像贴在南山墙上，祭桌上供奉着时令水果，一盘沙果、一盘迟桃、一盘点心、一盘油炸锞子。,孔子老先生的石刻拓片侧身像贴在南山墙上，祭桌上供奉着时令水果，一盘沙果、一盘迟桃、一盘点心、一盘油炸锞子。
不折不扣,所以不折不扣的“直言极谏”之臣，到底是寥寥可数的。,所以完全的“正直谏言”之臣，到底是很少的。
分工合作,人间呢，仍要有各类角色，大家还是得分工合作把所有的角色都承担起来。,人间呢，仍要有各类角色，大家还是得把所有的角色都承担起来。
奋起直追,她奋起直追的，要去响应新世界的召唤。,她奋勇追随要去响应新世界的召唤。
君子好逑,少女時期性的成熟，使她性的特點鮮明易見，招致「君子好逑」那是事屬當然的。,少女時期性的成熟，使她性的特點鮮明易見，招致男子追求那是事屬當然的。
返朴归真,它其实暗合着我们庄的心意。像我们庄这样一个古老的乡村，它是带有些返朴归真,它其实暗合着我们庄的心意。像我们庄这样一个古老的乡村，它是带有些回归纯真
金蝉脱壳,杜竹斋再睁开眼来，猛的看见赵伯韬的尖利而阴沉的眼光正射在自己脸上，于是突然一个转念在他脑筋上一跳：老赵本来是多头大户，交割期近，又夹着个旧历端阳节，他一定感到恐慌，因而什么多头公司莫非是他的“金蝉脱壳”计罢？,杜竹斋再睁开眼来，猛的看见赵伯韬的尖利而阴沉的眼光正射在自己脸上，于是突然一个转念在他脑筋上一跳：老赵本来是多头大户，交割期近，又夹着个旧历端阳节，他一定感到恐慌，因而什么多头公司莫非是他脱身计罢？
直抒胸臆,不管是“新潮”的、“魔幻”的或是质朴的、传统的，只要真正是襟怀坦荡、直抒胸臆,不管是“新潮”的、“魔幻”的或是质朴的、传统的，只要真正是襟怀坦荡、直接表达
凭白无故,我凭白无故的放了你，怎么交代呢？”,我凭什么放了你，怎么交代呢？”
言传身教,而言传身教不可偏废，白嘉轩挺着腰杆踩踏轧花机就是最好的身教。,而说到做到不能片面，白嘉轩挺着腰杆踩踏轧花机就是最好的身教。
庐山真面,真可谓“横看成岭侧成峰”，但其中任何一本都是“不识庐山真面目”。,真可谓“横看成岭侧成峰”，但其中任何一本都是“不知本质”。
回光反照,她的脸上带了一点病容，但是看起来却添了一种回光反照的美，使得稍微敏感的人都起了痛惜的感觉，知道这颗美丽的星快要陨落了。,她的脸上带了一点病容，但是看起来却添了一种的美，使得稍微敏感的人都起了痛惜的感觉，知道这颗美丽的星快要陨落了。
躲躲藏藏,躲躲藏藏、虚与委蛇易让人起疑心，竹筒倒豆子、一切痛快说出来倒水落石出。,躲躲藏藏、伪装易让人起疑心，竹筒倒豆子、一切痛快说出来倒真相都出来了。
不忍卒读,接下来莫言描写了残酷而激烈的屠杀场面，令我不忍卒读。,接下来莫言描写了残酷而激烈的屠杀场面，令我。
耳聪目明,苦涩的杏叶，作用犹如烟草，使我困意顿消，于是我就耳聪目明,苦涩的杏叶，作用犹如烟草，使我困意顿消，于是我就耳朵灵敏眼睛明亮
