idiom,explanation,original_sentence,original_paraphrase
无论如何,总之,“年老人，像我同士平先生这样年纪的人，是只知道人都是应当亲切一点，无论如何都不至于不原谅人的。”,“年老人，像我同士平先生这样年纪的人，是只知道人都是应当亲切一点，总之都不至于不原谅人的。”
不知不觉,自然,卢大夫非常信任他，依赖他，为了挽救一个生命，他们不知不觉地携起了手，自然而然地成了朋友。,卢大夫非常信任他，依赖他，为了挽救一个生命，他们自然地携起了手，自然地成了朋友。
莫名其妙,感到奇怪,这一串的惊人的消息，与忽来忽止的言论，使北平人莫名其妙，不知道世界将要变成什么样子。,这一串的惊人的消息，与忽来忽止的言论，使北平人感到奇怪，不知道世界将要变成什么样子。
来去无踪,隐秘,一串单个的名字，同到一堆如像恋爱，作媒，结婚，亲嘴的字言，四面八方的掷来，少年为这些来去无踪的零碎片段思想包围，人是苦恼了。,一串单个的名字，同到一堆如像恋爱，作媒，结婚，亲嘴的字言，从各个方向掷来，少年为这些隐秘的零碎片段思想包围，人是苦恼了。
不可思议,神奇,充作饼馅的麦芽糖，软软甜甜且不说，最不可思议的是它不腻、不滞、不粘牙。,充作饼馅的麦芽糖，软软甜甜且不说，最神奇的是它不腻、不滞、不粘牙。
一言不发,沉默,它一言不发地夹在其他赤身露体的糕饼当中，有一种无声的热闹，有一种难掩的喜气。,它沉默地夹在其他裸露的糕饼当中，有一种无声的热闹，有一种难掩的喜气。
胡思乱想,走神,冬天的太阳软绵绵的，晒得人全身都有一股说不出的懒怠劲，我喜欢那么悠悠晃晃，做白日梦，一堂课我胡思乱想混去了半堂。,冬天的太阳软绵绵的，晒得人全身都有一股说不出的懒怠劲，我喜欢那么悠悠晃晃，做白日梦，一堂课我走神混去了半堂。
翻来覆去,反复,我不接他的话，他又翻来覆去地说，“到哪儿弄钱去？”,我不接他的话，他又反复地说，“到哪儿弄钱去？”
不知所措,莫名,我轻轻的摸著它的里里外外，好似得了宝贝似的不知所措的欢喜著，脑子里突然浮出一片大漠落霞的景色，背后的配乐居然是“狮子与我”片中那首叫做“生而自由”的好听的主题曲。,我轻轻的摸著它的里里外外，好似得了宝贝似的莫名的欢喜著，脑子里突然浮出一片大漠落霞的景色，背后的配乐居然是“狮子与我”片中那首叫做“生而自由”的好听的主题曲。
咬牙切齿,憎恨,让人哭，让人笑，让人咬牙切齿，捶胸顿足，都太容易。,让人哭，让人笑，让人憎恨，悲痛，都太容易。
捶胸顿足,悲痛,让人哭，让人笑，让人咬牙切齿，捶胸顿足，都太容易。,让人哭，让人笑，让人憎恨，悲痛，都太容易。
惊心动魄,令人震撼,然而到了近来，并且又到了据说已经有了党的康村，而且自己是正感到无法处置自己历年居积下来的一点钱的时节，这些话，自然不免有点惊心动魄了。,然而到了近来，并且又到了据说已经有了党的康村，而且自己是正感到无法处置自己历年居积下来的一点钱的时节，这些话，自然不免有点令人震撼了。
惊天动地,声势极大,整个山城惊天动地地回应：听清楚了！,整个山城声势极大地回应：听清楚了！
幸灾乐祸,戏虐,我跟在他身后幸灾乐祸地说：“请别说这是庸俗，那女人不过是个小巷子里腌菜的大字不识的女人，不值得你失望。”,我跟在他身后戏虐地说：“请别说这是庸俗，那女人不过是个小巷子里腌菜的大字不识的女人，不值得你失望。”
