src,dst
他们将我围住，恶作剧的戏笑起来，旁边两个他们一伙的女孩子，又是泥泞的鞋子就伸过来在我清洁的座位上一搁。,他们将我围住，捣蛋地戏笑起来，旁边两个他们一伙的女孩子，又是泥泞的鞋子就伸过来在我清洁的座位上一搁。
桥上一窝蜂一样，她简直看不清一堆堆是些什么人，她只觉得到处都是一条条人影，晃来，晃去，有的穿红，有的穿绿，细细尖尖的高跟鞋，蠢头蠢脑的日本木履，的的笃笃，在水泥桥上用力敲。,桥上十分拥挤，她简直看不清一堆堆是些什么人，她只觉得到处都是一条条人影，晃来，晃去，有的穿红，有的穿绿，细细尖尖的高跟鞋，蠢头蠢脑的日本木履，的的笃笃，在水泥桥上用力敲。
王琦瑶赶紧把牌抹了，说她半路想做清一色，这一对就不想要了。,王琦瑶赶紧把牌抹了，说她半路想做同色，这一对就不想要了。
当时我们的拖拉机出了毛病，母亲急得团团转，见车拦车见人拦人，拦住了就请人家帮忙，但没人愿帮我们的忙。,当时我们的拖拉机出了毛病，母亲十分着急，见车拦车见人拦人，拦住了就请人家帮忙，但没人愿帮我们的忙。
很长时间我们都太政治化，以某种政治观点决定自己的情感投向，而小人在政治观点上几乎是无可无不可的，因此容易同时讨好两面，至少被两面都看成中间状态的友邻。,很长时间我们都太政治化，以某种政治观点决定自己的情感投向，而小人在政治观点上几乎是没有主见的，因此容易同时讨好两面，至少被两面都看成中间状态的友邻。
挂着“总经理”、“董事长”等等头衔的名片满天飞，其中有些单位的全部人马就是“总经理”自己一个人——他们的“公司”就在腋下的皮包里装着。,挂着“总经理”、“董事长”等等头衔的名片到处走动，其中有些单位的全部人马就是“总经理”自己一个人——他们的“公司”就在腋下的皮包里装着。
小轱辘子开了头，五叔也破天荒地讲了个故事，我猜测着五叔这故事是讲给出钱买花生的于大身听的。,小轱辘子开了头，五叔也难得地讲了个故事，我猜测着五叔这故事是讲给出钱买花生的于大身听的。
顾先生平时是不说话的，是一个闷葫芦。,顾先生平时是不说话的，是一个难得张口的人。
然而你应当懂出钱的时候，最好不必让他先送你钉子碰，送不碰钉子处名之曰“里手”。,然而你应当懂出钱的时候，最好不必让他先送你遭拒，送不遭拒处名之曰“里手”。
她想她何苦要去做那不相干人的眼中钉？,她想她何苦要去做那不相干人的障碍？
但是，聪明的，你告诉我，我们的日子为什么一去不复返呢？,但是，聪明的，你告诉我，我们的日子为什么一去不再回来呢？
现在从地球到银河中间的最近的一个星，中间距离，照孙行者一秒钟翻十万八千里的速率计算，恐怕翻一万万年也翻不到，宇宙是何等的大？,现在从地球到银河中间的最近的一个星，中间距离，照孙行者一秒钟翻赤道一圈的速率计算，恐怕翻一万万年也翻不到，宇宙是何等的大？
本来话就不多，加上夹杂这类不中听的口头禅，因此与人交谈很不顺畅。,来话就不多，加上夹杂这类不中听的习惯用语，因此与人交谈很不顺畅。
下一代的这种态度，反倒有可能绕过历史迷魂阵，直问天性、良知和审美直觉，从而留下人类最珍贵的一点东西。,下一代的这种态度，反倒有可能绕过历史阻碍，直问天性、良知和审美直觉，从而留下人类最珍贵的一点东西。
三踅一拍脑门，说：“二叔你是说他们知道了我要告状，先下手为强，设了圈套让我钻？”,三踅一拍脑门，说：“二叔你是说他们知道了我要告状，取得主动地位，设了圈套让我钻？”
天无绝人之路，哪能……”她明知道天“有”绝人之路，可是不能不那么说。,一时绝境总会找到出路，哪能……”她明知道天“有”绝人之路，可是不能不那么说。
特别是定了婚的小姨，象英，因为正恋着自己的天字第一号的男性，不由的便挑剔出姐丈的毛病，以便给她那个人又增补上一些优点。,特别是定了婚的小姨，象英，因为正恋着自己的最强的男性，不由的便挑剔出姐丈的毛病，以便给她那个人又增补上一些优点。
其中一个最善于逢迎凑趣的同事，谈到某时在某地方看到一个妇人从睡梦里被火惊起的情形，因慌乱了一点，如何忘记了自己是女人，他把这个莫须有的故事，用了许多很雅致的名词描画着，大家皆用着温和微笑的脸儿，细心领会到这故事的变化，末了多人皆仿佛若有所得，便互相交换到烟卷，互相很矜持的笑着，表明这笑话虽有趣味，却并不能把大家的身分失去，不如另外一时另外一个人笑话来得更好，因为这个故事是这个无耻的人说出，他们是明白这个人的不好的。,其中一个最善于逢迎凑趣的同事，谈到某时在某地方看到一个妇人从睡梦里被火惊起的情形，因慌乱了一点，如何忘记了自己是女人，他把这个压根没有的故事，用了许多很雅致的名词描画着，大家皆用着温和微笑的脸儿，细心领会到这故事的变化，末了多人皆仿佛若有所得，便互相交换到烟卷，互相很矜持的笑着，表明这笑话虽有趣味，却并不能把大家的身分失去，不如另外一时另外一个人笑话来得更好，因为这个故事是这个无耻的人说出，他们是明白这个人的不好的。
诗人躺在黑夜里，我和诗人百思不得其解。,诗人躺在黑夜里，我和诗人理解不了。
假若天津是唱着文武带打的大戏，北平只是一出空城计。,假若天津是唱着文武带打的大戏，北平只是一出空大戏。
而且他也看出来，这种野娘们什么也干得出来，真要再来个吊死鬼，可得更吃不了兜着走了。,而且他也看出来，这种野娘们什么也干得出来，真要再来个吊死鬼，可得更不放过你。
这一种在帮的花子李三惹不起，他们也不碍李三的事，井水不犯河水。,这一种在帮的花子李三惹不起，他们也不碍李三的事，毫无关系。
是杀人不眨眼的土匪“蓝脸”，我曾经在锅灶里埋了一颗手榴弹炸死了晨起做饭,是无情的土匪“蓝脸”，我曾经在锅灶里埋了一颗手榴弹炸死了晨起做饭
两条扶手的脊岭，西面一条，是从延平东下，直到闽侯结脉的旗山；这山隔着江水，当夕阳照得通明，你站上省城高处，障手向西望去，原也看得浓紫纟因缊；可是究竟路隔得远了一点，可望而不可即，去游的人，自然不多。,两条扶手的脊岭，西面一条，是从延平东下，直到闽侯结脉的旗山；这山隔着江水，当夕阳照得通明，你站上省城高处，障手向西望去，原也看得浓紫纟因缊；可是究竟路隔得远了一点，想到达却到不了，去游的人，自然不多。
如果你是历史学专家，你根本不必去商海里寻找新梦，只要你有慧心，你依然可以从故纸堆里发现吸引人们注意力的新东西，找到通往金钱、美名、实现人生价值的道路。,如果你是历史学专家，你根本不必去商海里寻找新梦，只要你有慧心，你依然可以从古书里发现吸引人们注意力的新东西，找到通往金钱、美名、实现人生价值的道路。
老方和开车的老鲁，对鸭棚的环境都不熟悉，刘跃进对鸭棚熟；老方觉得，刘跃进去偷最合适；可以神不知鬼不觉；但刘跃进不愿去偷：,老方和开车的老鲁，对鸭棚的环境都不熟悉，刘跃进对鸭棚熟；老方觉得，刘跃进去偷最合适；可以不被任何人发现；但刘跃进不愿去偷：
中国驻意大利大使馆的一位朋友告诉我，有次中国领导人访问罗马，计划做了几个月，但当领导人到达前一星期，意大利方面的计划负责人突然不见了，把大家急成了热锅上的蚂蚁，只得重新开始计划。,中国驻意大利大使馆的一位朋友告诉我，有次中国领导人访问罗马，计划做了几个月，但当领导人到达前一星期，意大利方面的计划负责人突然不见了，把大家急死了，只得重新开始计划。
都给我们天星留着，我才不怕旁人说我是'守财奴'呢！,都给我们天星留着，我才不怕旁人说我是'吝啬钱财的人'呢！
并不是这个情人是那么永恒，而是这个里程碑是这么重要。”,并不是这个情人是那么永恒，而是这个表率是这么重要。”
许宝皮笑肉不笑地说，“这家伙，多少还有些,许宝假笑地说，“这家伙，多少还有些
金狗知道福运是被那阵势吓昏了，他想象得出来公安人员职业性的脾气，更想象得出来老诚的福运在那里一受惊而前言不搭后语的可怜相。,金狗知道福运是被那阵势吓昏了，他想象得出来公安人员职业性的脾气，更想象得出来老诚的福运在那里一受惊而不会说话的可怜相。
我有几分假惺惺地迎上去，问它：“哥们儿，没事吧？”,我有几分假意迎上去，问它：“哥们儿，没事吧？”
夜晚漆黑，伸手不见五指，我的班长要去拉屎，又怕掉进茅坑，他点起一把稻草，举着，像举着火炬照耀道路。,夜晚漆黑，伸手看不见五个手指，我的班长要去拉屎，又怕掉进茅坑，他点起一把稻草，举着，像举着火炬照耀道路。
古时候的人‘敢怒而不敢言’，你连怒都不敢了么？”,古时候的人‘敢发怒不敢发声’，你连怒都不敢了么？”
他不像李葫芦，他手下战斗队大，有势力，所以有资格坐山观虎斗。,他不像李葫芦，他手下战斗队大，有势力，所以有资格坐观战局势。
原来我们的山峒，前面的路是那么陡险，差不多一刀切下的石壁，真是梦境的景致！,原来我们的山峒，前面的路是那么陡险，差不多极端的石壁，真是梦境的景致！
一、家丑不可外扬，谁也不能说咱这儿的事。,一、家里的丑事不好外传，谁也不能说咱这儿的事。
旧社会有一个说法，把她们叫做“小人行”，是三百六十行里头的一样，好歹也是一只饭碗。,旧社会有一个说法，把她们叫做“小人行”，是众多行业里头的一样，好歹也是一只饭碗。
一言以蔽之，女人就得像个女人的样子。,一句话说，女人就得像个女人的样子。
正在对了这魔都的夜景，感到不安与疑惑的中间，背后房里的几位哥哥的朋友，却谈到了天蟾舞台的迷人的戏剧；晚餐吃后，有人做东道主请去看戏，我自然也做了花楼包厢里的观众的一人。,正在对了这魔都的夜景，感到不安与疑惑的中间，背后房里的几位哥哥的朋友，却谈到了天蟾舞台的迷人的戏剧；晚餐吃后，有人做为接待的主人请去看戏，我自然也做了花楼包厢里的观众的一人。
大院里这样的人多了，老跟“文明”人学；好象“文明”人的吹胡子瞪眼睛是应当应分。,大院里这样的人多了，老跟“文明”人学；好象“文明”人的发脾气是应当应分。
又打量屋内仙境般的陈设，感叹北京和老家，就是不同；菜相同，环境不同；或菜相同，人却不同；同是自己，在本县和在北京，又是不同；真是此一时彼一时。,又打量屋内仙境般的陈设，感叹北京和老家，就是不同；菜相同，环境不同；或菜相同，人却不同；同是自己，在本县和在北京，又是不同；真是不能比较。
然而我们这双鞋，却费尽了九牛二虎之力。,然而我们这双鞋，却费尽了力气。
小偷间，常因为生意和地盘火并，曹哥杀着鸭子，与他们排解过几次；几次即将发生的流血事件，都因为曹哥的调解，化干戈为玉帛。,小偷间，常因为生意和地盘火并，曹哥杀着鸭子，与他们排解过几次；几次即将发生的流血事件，都因为曹哥的调解，化解矛盾。
“你的名字没起错，你不是‘真’聪明，你是‘假’聪明；你不是‘假’聪明，你是过于聪明，你是聪明反被聪明误！”,“你的名字没起错，你不是‘真’聪明，你是‘假’聪明；你不是‘假’聪明，你是过于聪明，你是自以为聪明！”
将自己的衣裳和水壶，三下五除二塞进提包，拎上，踢开门走了。,将自己的衣裳和水壶，利索地塞进提包，拎上，踢开门走了。
因为一想就破坏西湖风景的美，一想就杀风景。,因为一想就破坏西湖风景的美，一想就浪费风景。
我吗，正如大安的意见一样，我们是不胜任的，我是乡政府生产干事，乡上别的事务也很多，大安也有他的信贷工作，我们是心有余而力不足啊！,我吗，正如大安的意见一样，我们是不胜任的，我是乡政府生产干事，乡上别的事务也很多，大安也有他的信贷工作，我们是想做却没有能力啊！
从塔下到一个人工的湖有一条柏树甬道，也有森森之意；可惜树太细瘦，比起我们中山公园，真是小巫见大巫了。,从塔下到一个人工的湖有一条柏树甬道，也有森森之意；可惜树太细瘦，比起我们中山公园，真是远远比不上了。
这样，李葫芦高不成低不就，两个战斗队都没有参加成。,这样，李葫芦没有成就也不愿意将就，两个战斗队都没有参加成。
柳遇春惘然点着头，似乎明白了梅女士的意思，又似乎不大明白；然后，他的脸上浮现一个苦笑，从齿缝中吐出一句“不是冤家不聚头”，便踉跄地跑了出去。,柳遇春惘然点着头，似乎明白了梅女士的意思，又似乎不大明白；然后，他的脸上浮现一个苦笑，从齿缝中吐出一句“仇人不可避免相遇”，便踉跄地跑了出去。
大癞蛤蟆想吃天鹅肉，想不到小癞蛤蟆也想吃天鹅肉,大癞蛤蟆做梦想吃天鹅肉，想不到小癞蛤蟆也想吃天鹅肉
花脖子是高密东北乡土匪的大旗，抓住他，东北乡土匪就树倒猢狲散。,花脖子是高密东北乡土匪的大旗，抓住他，东北乡土匪就散伙了。
昔人以为荔枝味似软枣，实在是风马牛不相及。,昔人以为荔枝味似软枣，实在是毫不相关。
打开天窗说亮话，你的小命攥在我手心里。,公开说明，你的小命攥在我手心里。
"""楚雁潮急切地问，他对于医学是个十足的门外汉。",楚雁潮急切地问，他对于医学完全不懂。
他们离不开自己的安乐窝，贪恋家里的那点盆盆罐罐。,他们离不开自己的幸福家园，贪恋家里的那点盆盆罐罐。
及至上了车，被这位的超常的善意赶跑了的灵机才溜回来，我这才领悟，像这样罕见的人，我应该同他结为忘年交。,及至上了车，被这位的超常的善意赶跑了的灵机才溜回来，我这才领悟，像这样罕见的人，我应该同他结为不顾年龄的好朋友。
我一面仍然不忘记人肉包子迷魂汤一类故事上的危险事情，独自走在最后一点，以为若果是前面的人一落了陷阱，我即刻就向后转。,我一面仍然不忘记人肉包子下了药的汤一类故事上的危险事情，独自走在最后一点，以为若果是前面的人一落了陷阱，我即刻就向后转。
千万别把这不得已而为之看成美德，一说“我们”便意味着迁就和表彰，一提“他们”就已经受了伤害。,千万别把必须做看成美德，一说“我们”便意味着迁就和表彰，一提“他们”就已经受了伤害。
