src,dst,src_tokenized,dst_tokenized
方鸿渐想跟鲍小姐两个人另去吃饭，在大家面前不好意思讲出口，只得随他们走。,方鸿渐想跟鲍小姐两个人另去吃饭，在大家面前不便讲出口，只得随他们走。,方 鸿 渐 想 跟 鲍 小 姐 两 个 人 另 去 吃 饭 ， 在 大 家 面 前 不 好 意 思 讲 出 口 ， 只 得 随 他 们 走 。,方 鸿 渐 想 跟 鲍 小 姐 两 个 人 另 去 吃 饭 ， 在 大 家 面 前 不 便 讲 出 口 ， 只 得 随 他 们 走 。
“年老人，像我同士平先生这样年纪的人，是只知道人都是应当亲切一点，无论如何都不至于不原谅人的。”,“年老人，像我同士平先生这样年纪的人，是只知道人都是应当亲切一点，总之都不至于不原谅人的。”,“ 年 老 人 ， 像 我 同 士 平 先 生 这 样 年 纪 的 人 ， 是 只 知 道 人 都 是 应 当 亲 切 一 点 ， 无 论 如 何 都 不 至 于 不 原 谅 人 的 。 ”,“ 年 老 人 ， 像 我 同 士 平 先 生 这 样 年 纪 的 人 ， 是 只 知 道 人 都 是 应 当 亲 切 一 点 ， 总 之 都 不 至 于 不 原 谅 人 的 。 ”
卢大夫非常信任他，依赖他，为了挽救一个生命，他们不知不觉地携起了手，自然而然地成了朋友。,卢大夫非常信任他，依赖他，为了挽救一个生命，他们自然地携起了手，自然地成了朋友。,卢 大 夫 非 常 信 任 他 ， 依 赖 他 ， 为 了 挽 救 一 个 生 命 ， 他 们 不 知 不 觉 地 携 起 了 手 ， 自 然 而 然 地 成 了 朋 友 。,卢 大 夫 非 常 信 任 他 ， 依 赖 他 ， 为 了 挽 救 一 个 生 命 ， 他 们 自 然 地 携 起 了 手 ， 自 然 地 成 了 朋 友 。
不知从什么地方而来，来到这里递送犯人的，休息在饭馆里，三五个全副武装的朋友蹲到灶边烘草鞋，犯人露出无可奈何的颜色，两手被绳子反缚，绳的一端绑在烧火凳上或廊柱上，饭店主人口上勾着长烟袋，睥睨犯人或同副爷谈天。,不知从什么地方而来，来到这里递送犯人的，休息在饭馆里，三五个全副武装的朋友蹲到灶边烘草鞋，犯人露出无奈的颜色，两手被绳子反缚，绳的一端绑在烧火凳上或廊柱上，饭店主人口上勾着长烟袋，睥睨犯人或同副爷谈天。,不 知 从 什 么 地 方 而 来 ， 来 到 这 里 递 送 犯 人 的 ， 休 息 在 饭 馆 里 ， 三 五 个 全 副 武 装 的 朋 友 蹲 到 灶 边 烘 草 鞋 ， 犯 人 露 出 无 可 奈 何 的 颜 色 ， 两 手 被 绳 子 反 缚 ， 绳 的 一 端 绑 在 烧 火 凳 上 或 廊 柱 上 ， 饭 店 主 人 口 上 勾 着 长 烟 袋 ， 睥 睨 犯 人 或 同 副 爷 谈 天 。,不 知 从 什 么 地 方 而 来 ， 来 到 这 里 递 送 犯 人 的 ， 休 息 在 饭 馆 里 ， 三 五 个 全 副 武 装 的 朋 友 蹲 到 灶 边 烘 草 鞋 ， 犯 人 露 出 无 奈 的 颜 色 ， 两 手 被 绳 子 反 缚 ， 绳 的 一 端 绑 在 烧 火 凳 上 或 廊 柱 上 ， 饭 店 主 人 口 上 勾 着 长 烟 袋 ， 睥 睨 犯 人 或 同 副 爷 谈 天 。
但还没等俺开口呢，老东西就仰脸望着房笆，仿佛是自言自语地说：,但还没等俺开口呢，老东西就仰脸望着房笆，仿佛是自己对自己说话：,但 还 没 等 俺 开 口 呢 ， 老 东 西 就 仰 脸 望 着 房 笆 ， 仿 佛 是 自 言 自 语 地 说 ：,但 还 没 等 俺 开 口 呢 ， 老 东 西 就 仰 脸 望 着 房 笆 ， 仿 佛 是 自 己 对 自 己 说 话 ：
这一串的惊人的消息，与忽来忽止的言论，使北平人莫名其妙，不知道世界将要变成什么样子。,这一串的惊人的消息，与忽来忽止的言论，使北平人感到奇怪，不知道世界将要变成什么样子。,这 一 串 的 惊 人 的 消 息 ， 与 忽 来 忽 止 的 言 论 ， 使 北 平 人 莫 名 其 妙 ， 不 知 道 世 界 将 要 变 成 什 么 样 子 。,这 一 串 的 惊 人 的 消 息 ， 与 忽 来 忽 止 的 言 论 ， 使 北 平 人 感 到 奇 怪 ， 不 知 道 世 界 将 要 变 成 什 么 样 子 。
一架架的书橱空了，钱绣芸小姐哀怨地仰望终身而未能上的楼板，黄宗羲先生小心翼翼地踩踏过的楼板，现在只留下偷儿吐出的一大堆枣核在上面。,一架架的书橱空了，钱绣芸小姐哀怨地仰望终身而未能上的楼板，黄宗羲先生十分小心地踩踏过的楼板，现在只留下偷儿吐出的一大堆枣核在上面。,一 架 架 的 书 橱 空 了 ， 钱 绣 芸 小 姐 哀 怨 地 仰 望 终 身 而 未 能 上 的 楼 板 ， 黄 宗 羲 先 生 小 心 翼 翼 地 踩 踏 过 的 楼 板 ， 现 在 只 留 下 偷 儿 吐 出 的 一 大 堆 枣 核 在 上 面 。,一 架 架 的 书 橱 空 了 ， 钱 绣 芸 小 姐 哀 怨 地 仰 望 终 身 而 未 能 上 的 楼 板 ， 黄 宗 羲 先 生 十 分 小 心 地 踩 踏 过 的 楼 板 ， 现 在 只 留 下 偷 儿 吐 出 的 一 大 堆 枣 核 在 上 面 。
她不说话，只是笑了笑，剪得乱七八糟的短发梳也没梳，如同枯黄了的麦梗。,她不说话，只是笑了笑，剪得杂乱的短发梳也没梳，如同枯黄了的麦梗。,她 不 说 话 ， 只 是 笑 了 笑 ， 剪 得 乱 七 八 糟 的 短 发 梳 也 没 梳 ， 如 同 枯 黄 了 的 麦 梗 。,她 不 说 话 ， 只 是 笑 了 笑 ， 剪 得 杂 乱 的 短 发 梳 也 没 梳 ， 如 同 枯 黄 了 的 麦 梗 。
人生每个阶段都被赋予了适当的特点：童年的孱弱、青年的剽悍、中年的持重、老年的成熟，所有这些都是自然而然的，按照各自特性属于相应的生命时期。,人生每个阶段都被赋予了适当的特点：童年的孱弱、青年的剽悍、中年的持重、老年的成熟，所有这些都是自然的，按照各自特性属于相应的生命时期。,人 生 每 个 阶 段 都 被 赋 予 了 适 当 的 特 点 ： 童 年 的 孱 弱 、 青 年 的 剽 悍 、 中 年 的 持 重 、 老 年 的 成 熟 ， 所 有 这 些 都 是 自 然 而 然 的 ， 按 照 各 自 特 性 属 于 相 应 的 生 命 时 期 。,人 生 每 个 阶 段 都 被 赋 予 了 适 当 的 特 点 ： 童 年 的 孱 弱 、 青 年 的 剽 悍 、 中 年 的 持 重 、 老 年 的 成 熟 ， 所 有 这 些 都 是 自 然 的 ， 按 照 各 自 特 性 属 于 相 应 的 生 命 时 期 。
总而言之，人家欠立大的数目，也不算小呢，立大收得回多少，存户就可以摊还多少；然而从端阳到现在，一个钱也没有收回来。”,总之，人家欠立大的数目，也不算小呢，立大收得回多少，存户就可以摊还多少；然而从端阳到现在，一个钱也没有收回来。”,总 而 言 之 ， 人 家 欠 立 大 的 数 目 ， 也 不 算 小 呢 ， 立 大 收 得 回 多 少 ， 存 户 就 可 以 摊 还 多 少 ； 然 而 从 端 阳 到 现 在 ， 一 个 钱 也 没 有 收 回 来 。 ”,总 之 ， 人 家 欠 立 大 的 数 目 ， 也 不 算 小 呢 ， 立 大 收 得 回 多 少 ， 存 户 就 可 以 摊 还 多 少 ； 然 而 从 端 阳 到 现 在 ， 一 个 钱 也 没 有 收 回 来 。 ”
