found_idiom,translated_segment,src,dst,idiom_avg,idiom_log_avg,idiom_tot,idiom_min,idiom_max,idiom_log_tot,literal_avg,literal_log_avg,literal_tot,literal_min,literal_max,literal_log_tot
不好意思,不便,方鸿渐想跟鲍小姐两个人另去吃饭，在大家面前不好意思讲出口，只得随他们走。,方鸿渐想跟鲍小姐两个人另去吃饭，在大家面前不便讲出口，只得随他们走。,788629.0,13.578052541802005,3154516,144503,2237915,14.964345951905125,1198697.0,13.996746525719619,2397394,159479,2237915,14.689893289160237
无论如何,像我同士平先生这样年纪的人，是只知道人,“年老人，像我同士平先生这样年纪的人，是只知道人都是应当亲切一点，无论如何都不至于不原谅人的。”,“年老人，像我同士平先生这样年纪的人，是只知道人都是应当亲切一点，总之都不至于不原谅人的。”,297450.25,12.603005624994177,1189801,184335,449036,13.989297464689312,1198834.0555555555,13.996860856202268,21579013,69045,7922684,16.887231826296297
自然而然,依赖他，为了挽救一个生命，他们自然,卢大夫非常信任他，依赖他，为了挽救一个生命，他们不知不觉地携起了手，自然而然地成了朋友。,卢大夫非常信任他，依赖他，为了挽救一个生命，他们自然地携起了手，自然地成了朋友。,570744.5,13.25469867999828,2282978,511026,649239,14.640991727046499,925620.7333333333,13.738220934851,13884311,5389,3050722,16.446270127621435
无可奈何,无奈,不知从什么地方而来，来到这里递送犯人的，休息在饭馆里，三五个全副武装的朋友蹲到灶边烘草鞋，犯人露出无可奈何的颜色，两手被绳子反缚，绳的一端绑在烧火凳上或廊柱上，饭店主人口上勾着长烟袋，睥睨犯人或同副爷谈天。,不知从什么地方而来，来到这里递送犯人的，休息在饭馆里，三五个全副武装的朋友蹲到灶边烘草鞋，犯人露出无奈的颜色，两手被绳子反缚，绳的一端绑在烧火凳上或廊柱上，饭店主人口上勾着长烟袋，睥睨犯人或同副爷谈天。,319554.25,12.674685464297246,1278217,11509,723108,14.060977478402403,185387.0,12.13020620510005,370774,11509,359265,12.823350688610164
自言自语,自己对自己说话：,但还没等俺开口呢，老东西就仰脸望着房笆，仿佛是自言自语地说：,但还没等俺开口呢，老东西就仰脸望着房笆，仿佛是自己对自己说话：,356621.75,12.784433779347633,1426487,82805,611687,14.170726037402622,506262.5714285714,13.134812704803705,3543838,240067,874977,15.08072116078128
莫名其妙,的消息,这一串的惊人的消息，与忽来忽止的言论，使北平人莫名其妙，不知道世界将要变成什么样子。,这一串的惊人的消息，与忽来忽止的言论，使北平人感到奇怪，不知道世界将要变成什么样子。,163942.75,12.007278660167687,655771,20165,403028,13.393568446537301,2705798.0,14.810907805574864,8117394,96263,7922684,15.909519847858542
小心翼翼,十分小心,一架架的书橱空了，钱绣芸小姐哀怨地仰望终身而未能上的楼板，黄宗羲先生小心翼翼地踩踏过的楼板，现在只留下偷儿吐出的一大堆枣核在上面。,一架架的书橱空了，钱绣芸小姐哀怨地仰望终身而未能上的楼板，黄宗羲先生十分小心地踩踏过的楼板，现在只留下偷儿吐出的一大堆枣核在上面。,210158.75,12.255623234788862,840635,18710,410987,13.641914027188585,390387.75,12.874898316507508,1561551,338954,419382,14.261190756463634
乱七八糟,杂乱,她不说话，只是笑了笑，剪得乱七八糟的短发梳也没梳，如同枯黄了的麦梗。,她不说话，只是笑了笑，剪得杂乱的短发梳也没梳，如同枯黄了的麦梗。,56225.0,10.93713456235188,224900,7960,92700,12.323415584358154,43869.5,10.688997391405545,87739,40265,47474,11.382133174720204
自然而然,自然,人生每个阶段都被赋予了适当的特点：童年的孱弱、青年的剽悍、中年的持重、老年的成熟，所有这些都是自然而然的，按照各自特性属于相应的生命时期。,人生每个阶段都被赋予了适当的特点：童年的孱弱、青年的剽悍、中年的持重、老年的成熟，所有这些都是自然的，按照各自特性属于相应的生命时期。,570744.5,13.25469867999828,2282978,511026,649239,14.640991727046499,561356.5,13.23811323644611,1122713,511026,611687,13.931259526307663
总而言之,总之,总而言之，人家欠立大的数目，也不算小呢，立大收得回多少，存户就可以摊还多少；然而从端阳到现在，一个钱也没有收回来。”,总之，人家欠立大的数目，也不算小呢，立大收得回多少，存户就可以摊还多少；然而从端阳到现在，一个钱也没有收回来。”,390755.0,12.875838603252207,1563020,120308,649239,14.26213104501393,396736.5,12.891030131906193,793473,184470,609003,13.584176052186194
